period_number,start_time,end_time,active_users,idle_users,users_with_requests,requests_completed,requests_launched,requests_completed_new,requests_completed_prior,requests_in_progress,requests_in_progress_new,requests_in_progress_prior,requests_per_second,input_tokens_per_second,output_tokens_per_second,ttft_avg,ttft_p50,ttft_p95,ttft_p99,avg_cache_hit_rate,working_set_blocks,users_added,users_completed,total_request_time,idle_time_pct,new_tokens_ingested,ttft_headroom_pct,rate_limited_users,rate_limit_events,admission_blocked_events,dispatch_delay_avg,dispatch_delay_max,in_flight_prefilling,in_flight_decoding
1,1775096741.343219,1775096771.343219,17,3,1,1,1,1,0,17,17,0,0.03333333333333333,213.3,18.066666666666666,0.8647420406341553,0.8647420406341553,0.8647420406341553,0.8647420406341553,0.3939393939393939,23825,0,0,15.928661108016968,97.34522314866383,3840,91.35257959365845,0,0,0,1.3400033447477553,7.4667067527771,9,8
2,1775096771.343219,1775096801.343219,22,5,0,4,0,0,4,22,9,13,0.13333333333333333,0.0,32.8,0.0,0.0,0.0,0.0,0.0,27965,7,0,0.0,100.0,0,0.0,0,0,0,0.07486775186326769,0.25961732864379883,11,11
3,1775096801.343219,1775096831.343219,30,4,0,4,0,0,4,30,13,17,0.13333333333333333,0.0,66.0,0.0,0.0,0.0,0.0,0.0,42496,7,0,0.0,100.0,0,0.0,0,0,0,0.13694258836599496,0.5389063358306885,8,22
4,1775096831.343219,1775096861.343219,36,5,0,8,0,0,8,36,13,23,0.26666666666666666,0.0,82.9,0.0,0.0,0.0,0.0,0.0,48465,7,0,0.0,100.0,0,0.0,0,0,0,0.07976920788104717,0.5085759162902832,5,31
5,1775096861.343219,1775096891.343219,31,9,18,45,16,16,29,31,24,7,1.5,46251.23333333333,378.1333333333333,3.778057646751404,1.3958399295806885,9.85683127641678,11.356140081882474,0.9891550140754073,53368,0,0,287.56547498703003,76.0362104177475,15040,62.21942353248596,0,0,0,0.008112770318984986,0.08476543426513672,1,30
6,1775096891.343219,1775096921.343219,31,12,19,49,24,23,26,31,26,5,1.6333333333333333,64673.433333333334,409.8666666666667,2.7443327140808105,1.5884428024291992,8.80227665901183,9.748769102096556,0.8493218493218493,61127,5,0,365.69138646125793,71.65183050687922,292224,72.55667285919189,0,0,0,0.03973844528198242,0.3944063186645508,1,30
7,1775096921.343219,1775096951.343219,34,12,14,39,13,13,26,34,28,6,1.3,35095.73333333333,382.76666666666665,4.554180060114179,4.638588309288025,8.838340485095978,8.998471395969391,0.9657625881780588,66391,5,0,222.2415475845337,83.89554003010625,36032,54.45819939885821,0,0,0,0.027021970067705427,0.36784839630126953,2,32
8,1775096951.343219,1775096981.343219,45,5,1,10,0,0,10,45,21,24,0.3333333333333333,2582.633333333333,191.8,0.669964075088501,0.669964075088501,0.669964075088501,0.669964075088501,0.9958677685950413,75730,5,0,29.19581890106201,98.05361207326253,320,93.30035924911499,0,0,0,0.371651706241426,5.9054975509643555,3,42
9,1775096981.343219,1775097011.343219,50,5,9,32,8,8,24,50,29,21,1.0666666666666667,25681.433333333334,342.1,4.6431336932712135,3.343961477279663,10.391546583175657,11.73130633354187,0.9917739925218114,82215,5,0,173.68601036071777,89.47357512965347,6336,53.56866306728787,0,0,0,0.03785811888205039,0.40492892265319824,1,49
10,1775097011.343219,1775097041.343219,52,8,0,21,0,0,21,52,23,29,0.7,0.0,197.93333333333334,0.0,0.0,0.0,0.0,0.0,91100,5,0,0.0,100.0,0,0.0,0,0,0,0.03855939533399499,0.28310203552246094,5,47
